Category,Namespace,Type Name,Attribute Name,Type,Cardinality,Definition
attribute,cdm.legaldocumentation.common,LegalAgreement,umbrellaAgreement,UmbrellaAgreement,(0..1),The determination of whether Umbrella Agreement terms are applicable (True) or Not Applicable (False).
data type,cdm.legaldocumentation.common,LegalAgreementBase,,,,"Specifies the legal agreement baseline information, being negotiated or having been executed. It excludes specialized elections"
attribute,cdm.legaldocumentation.common,LegalAgreementBase,agreementDate,date,(0..1),The date on which the legal agreement has been agreed between the parties. This corresponds to the Date of Deed in an English Law document.
attribute,cdm.legaldocumentation.common,LegalAgreementBase,effectiveDate,date,(0..1),"The date on which, or as of which, the agreement is effective, if different from the agreement date. It is expected that it will most often correspond to the agreement date, although there could be situations where the parties will explicitly agree on a distinct effective date."
attribute,cdm.legaldocumentation.common,LegalAgreementBase,identifier,Identifier,(0..*),The legal agreement identifier. Several identifiers can be specified.
attribute,cdm.legaldocumentation.common,LegalAgreementBase,legalAgreementIdentification,LegalAgreementIdentification,(1..1),"The type of legal agreement, identified via a set of composable attributes: agreementName, publisher, governing law and version, e.g. ISDA 2013 Standard Credit Support Annex English Law."
attribute,cdm.legaldocumentation.common,LegalAgreementBase,contractualParty,Party,(2..2),"The two contractual parties to the legal agreement, which reference information is positioned as part of the partyInformation attribute."
attribute,cdm.legaldocumentation.common,LegalAgreementBase,otherParty,PartyRole,(0..*),"The role(s) that other party(ies) may have in relation to the legal agreement, further to the contractual parties."
attribute,cdm.legaldocumentation.common,LegalAgreementBase,attachment,Resource,(0..*),"A human readable document, for example a confirmation."
data type,cdm.legaldocumentation.common,LegalAgreementIdentification,,,,"Specifies the type of legal agreement, identified via a set of composable attributes: agreementName, publisher, governing law and version, e.g. ISDA 2013 Standard Credit Support Annex English Law."
attribute,cdm.legaldocumentation.common,LegalAgreementIdentification,governingLaw,GoverningLawEnum,(0..1),"The law governing the legal agreement, e.g. English Law, New York Law or Japanese Law."
attribute,cdm.legaldocumentation.common,LegalAgreementIdentification,agreementName,AgreementName,(1..1),"The legal agreement name, e.g. Credit Support Annex for Variation Margin."
attribute,cdm.legaldocumentation.common,LegalAgreementIdentification,publisher,LegalAgreementPublisherEnum,(0..1),"The legal agreement publisher, e.g. ISDA."
attribute,cdm.legaldocumentation.common,LegalAgreementIdentification,vintage,int,(0..1),"In the case where successive definitions of the legal agreement have been developed, the vintage identification. This is typically (but not necessarily) done by referencing the year, e.g. 2013 in the case of the ISDA 2013 Standard Credit Support Annex."
data type,cdm.legaldocumentation.common,AgreementName,,,,Specifies the agreement name through an agreement type and optional detailed sub agreement type.
attribute,cdm.legaldocumentation.common,AgreementName,agreementType,LegalAgreementTypeEnum,(1..1),Specification of the legal agreement type.
attribute,cdm.legaldocumentation.common,AgreementName,creditSupportAgreementType,CreditSupportAgreementTypeEnum,(0..1),Specification of the credit support agreement type.
attribute,cdm.legaldocumentation.common,AgreementName,creditSupportAgreementMarginType,CollateralMarginTypeEnum,(0..1),specifies the type of margin for which a legal agreement is named.
attribute,cdm.legaldocumentation.common,AgreementName,contractualDefinitionsType,ContractualDefinitionsEnum,(0..*),The definitions such as those published by ISDA that will define the terms of the trade.
attribute,cdm.legaldocumentation.common,AgreementName,contractualTermsSupplement,ContractualTermsSupplement,(0..*),A contractual supplement (such as those published by ISDA) that will apply to the trade.
attribute,cdm.legaldocumentation.common,AgreementName,contractualMatrix,ContractualMatrix,(0..*),"A reference to a contractual matrix of elected terms/values (such as those published by ISDA) that shall be deemed to apply to the trade. The applicable matrix is identified by reference to a name and optionally a publication date. Depending on the structure of the matrix, an additional term (specified in the matrixTerm element) may be required to further identify a subset of applicable terms/values within the matrix."
attribute,cdm.legaldocumentation.common,AgreementName,masterAgreementType,MasterAgreementTypeEnum,(0..1),Specification of the master agreement type.
attribute,cdm.legaldocumentation.common,AgreementName,masterConfirmationType,MasterConfirmationTypeEnum,(0..1),The type of master confirmation executed between the parties.
attribute,cdm.legaldocumentation.common,AgreementName,masterConfirmationAnnexType,MasterConfirmationAnnexTypeEnum,(0..1),The type of master confirmation annex executed between the parties.
attribute,cdm.legaldocumentation.common,AgreementName,otherAgreement,string,(0..1),Definition of an agreement that is not enumerated in the CDM.
data type,cdm.legaldocumentation.common,UmbrellaAgreement,,,,A class to specify a set of legal entities which are part of a legal agreement beyond the two contracting parties to that agreement. This data representation reflects the ISDA Create representation.
attribute,cdm.legaldocumentation.common,UmbrellaAgreement,isApplicable,boolean,(1..1),"The determination of whether Umbrella Agreement terms are Applicable (True), or Not Applicable (False)"
attribute,cdm.legaldocumentation.common,UmbrellaAgreement,language,string,(0..1),"The language associated with the umbrella agreement, and which applies to all the parties to the umbrella agreement."
attribute,cdm.legaldocumentation.common,UmbrellaAgreement,parties,UmbrellaAgreementEntity,(0..*),Underlying principals to the umbrella agreement.
data type,cdm.legaldocumentation.common,UmbrellaAgreementEntity,,,,A class to specify the legal entities that are part of the umbrella agreement.
attribute,cdm.legaldocumentation.common,UmbrellaAgreementEntity,terms,string,(0..1),The terms that might be associated with each party to the umbrella agreement.
data type,cdm.legaldocumentation.common,AddressForNotices,,,,Specification of the address and other details for notices.
attribute,cdm.legaldocumentation.common,AddressForNotices,primaryNotices,ContactElection,(1..1),Specification of primary notice details
attribute,cdm.legaldocumentation.common,AddressForNotices,additionalNotices,PartyContactInformation,(0..*),The optional specification of additional information when a party requires notices to be delivered to more than one address.
data type,cdm.legaldocumentation.common,OtherAgreementTerms,,,,"A class to specify a related legal agreement. For example, ISDA 2016 Credit Support Annex for Initial Margin, paragraph 13, General Principles, (s): Other CSA and Japanese Law CSA (VM). | ISDA 2016 Credit Support Annex for Variation Margin, paragraph 13, (o): Other CSA."
attribute,cdm.legaldocumentation.common,OtherAgreementTerms,isSpecified,boolean,(1..1),The qualification of whether some other related agreement is specified (True) or not (False).
attribute,cdm.legaldocumentation.common,OtherAgreementTerms,legalDocument,string,(0..1),"The specification of this other agreement, when the qualification is True."
data type,cdm.legaldocumentation.common,ClosedState,,,," A class to qualify the closed state of an execution or a contract through the combination or a state (e.g. terminated, novated) and a set of dates: activity date, effective date and, when relevant, last payment date."
attribute,cdm.legaldocumentation.common,ClosedState,state,ClosedStateEnum,(1..1),"The qualification of what gave way to the contract or execution closure, e.g. allocation, termination, ..."
attribute,cdm.legaldocumentation.common,ClosedState,activityDate,date,(1..1),"The activity date on which the closing state took place, i.e. either the event date of the closing event (e.g. option exercise, contract early termination) or the contractual termination date."
attribute,cdm.legaldocumentation.common,ClosedState,effectiveDate,date,(0..1),"The date on which the closing event contractually takes effect, when different from the activity date. When an explicit event effective date attribute is associated with the closing event, it will be that date. In the case of a cancellation event, it will be the date on which the cancelled event took place."
attribute,cdm.legaldocumentation.common,ClosedState,lastPaymentDate,date,(0..1),"The date associated with the last payment in relation to the artefact (e.g. contract) to which this closed state applies. As an example, in the case of an early termination event, it would be the settlement date of the associated fee, if applicable."
data type,cdm.observable.asset.calculatedrate,FloatingRateCalculationParameters,,,,Defines the structures needed to represent the calculation parameters for daily averaged and compounded modular rates as defined in the 2021 ISDA Definitions in Section 7. This type is used to represent modular computed rates in interestRatePayouts.
attribute,cdm.observable.asset.calculatedrate,FloatingRateCalculationParameters,calculationMethod,CalculationMethodEnum,(1..1),calculation type (averaging or compounding).
attribute,cdm.observable.asset.calculatedrate,FloatingRateCalculationParameters,observationShiftCalculation,ObservationShiftCalculation,(0..1),any obervation shift parameters if applicable.
attribute,cdm.observable.asset.calculatedrate,FloatingRateCalculationParameters,lookbackCalculation,OffsetCalculation,(0..1),any lookback  parameters if applicable.
attribute,cdm.observable.asset.calculatedrate,FloatingRateCalculationParameters,lockoutCalculation,OffsetCalculation,(0..1),any lockout  parameters if applicable.
attribute,cdm.observable.asset.calculatedrate,FloatingRateCalculationParameters,applicableBusinessDays,BusinessCenters,(0..1),the business days that are applicable for the calculation.
attribute,cdm.observable.asset.calculatedrate,FloatingRateCalculationParameters,observationParameters,ObservationParameters,(0..1)," any applicable observation parameters, such as daily caps or floors."
data type,cdm.observable.asset.calculatedrate,FallbackRateParameters,,,,Defines the structure needed to represent fallback rate parameters. This type is used to represent modular computed rates in interestRatePayouts.
attribute,cdm.observable.asset.calculatedrate,FallbackRateParameters,floatingRateIndex,FloatingRateIndexEnum,(1..1),The floating rate index that is used as the basis of the fallback rate.
attribute,cdm.observable.asset.calculatedrate,FallbackRateParameters,effectiveDate,date,(0..1),The date the fallback rate takes effect.
attribute,cdm.observable.asset.calculatedrate,FallbackRateParameters,calculationParameters,FloatingRateCalculationParameters,(0..1),"Support for modular calculated rates, such such as lockout compound calculations."
attribute,cdm.observable.asset.calculatedrate,FallbackRateParameters,spreadAdjustment,number,(0..1),The economic spread applied to the underlying fallback rate to replicate the original risky rate.
data type,cdm.observable.asset.calculatedrate,OffsetCalculation,,,,Defines business day shifts for daily componded or averaged rates.  This type is used for lookback and lockout rates. This type is used to represent modular computed rates in interestRatePayouts.
attribute,cdm.observable.asset.calculatedrate,OffsetCalculation,offsetDays,int,(0..1),The number of business days offset.
data type,cdm.observable.asset.calculatedrate,ObservationShiftCalculation,,,,Parameters to describe the observation shift for a daily compounded or averaged floating rate. This type is used to represent modular computed rates in interestRatePayouts.
attribute,cdm.observable.asset.calculatedrate,ObservationShiftCalculation,offsetDays,int,(0..1),The number of days of observation shift.
attribute,cdm.observable.asset.calculatedrate,ObservationShiftCalculation,calculationBase,ObservationPeriodDatesEnum,(0..1),"Whether the rate is calculated in advance, in arrears, or relative to a reset date."
attribute,cdm.observable.asset.calculatedrate,ObservationShiftCalculation,additionalBusinessDays,BusinessCenters,(0..1),Any additional business days that be applicable.
data type,cdm.observable.asset.calculatedrate,ObservationParameters,,,,"Parameters on daily observed computed rates, specifically daily caps and floors. This type is used to represent modular computed rates in interestRatePayouts."
attribute,cdm.observable.asset.calculatedrate,ObservationParameters,observationCapRate,number,(0..1),A daily observation cap rate.
attribute,cdm.observable.asset.calculatedrate,ObservationParameters,observationFloorRate,number,(0..1),A daily observation floor rate.
data type,cdm.observable.asset.calculatedrate,CalculatedRateDetails,,,,"Type for reporting details of calculated rates, including the observations that went into the final reported rate."
attribute,cdm.observable.asset.calculatedrate,CalculatedRateDetails,observations,CalculatedRateObservations,(0..1),The observation dates and weights for each observation date.
attribute,cdm.observable.asset.calculatedrate,CalculatedRateDetails,weightedRates,number,(0..*),The weighted value of each observation.
attribute,cdm.observable.asset.calculatedrate,CalculatedRateDetails,growthFactor,number,(0..*),"The daily growth factors, showing the weighted rates divided by the day count basis plus one, giving how much the value grows for each step in the calculation."
attribute,cdm.observable.asset.calculatedrate,CalculatedRateDetails,compoundedGrowth,number,(0..*),"The compounding curve, showing how the initial value grew during the calculation period."
attribute,cdm.observable.asset.calculatedrate,CalculatedRateDetails,aggregateValue,number,(0..1),The total sum or product of all the individual terms that went into the calculated rate.
attribute,cdm.observable.asset.calculatedrate,CalculatedRateDetails,aggregateWeight,number,(0..1),The total weight of all the terms that went into the calculated rate.
attribute,cdm.observable.asset.calculatedrate,CalculatedRateDetails,calculatedRate,number,(0..1),The resulting calculated weight.
data type,cdm.observable.asset.calculatedrate,CalculatedRateObservations,,,,Type for reporting observations that went into the final reported rate.
attribute,cdm.observable.asset.calculatedrate,CalculatedRateObservations,observationDates,date,(0..*),The observation date upon which the rate is observed.
attribute,cdm.observable.asset.calculatedrate,CalculatedRateObservations,weights,number,(0..*),The corresponding weight for each date.
attribute,cdm.observable.asset.calculatedrate,CalculatedRateObservations,observedRates,number,(0..*),The value observed for that date
attribute,cdm.observable.asset.calculatedrate,CalculatedRateObservations,processedRates,number,(0..*),"The value after any processing, such as application of caps or floors."
data type,cdm.observable.asset.calculatedrate,CalculatedRateObservationDatesAndWeights,,,,Type for reporting the observations dates and the corresponding weights going into a daily calculated rate
attribute,cdm.observable.asset.calculatedrate,CalculatedRateObservationDatesAndWeights,observationDates,date,(0..*),The observation date upon which the rate is observed.
attribute,cdm.observable.asset.calculatedrate,CalculatedRateObservationDatesAndWeights,weights,number,(0..*),The corresponding weight for each date.
data type,cdm.base.staticdata.asset.common,AssetPool,,,,Characterizes the asset pool behind an asset backed bond.
attribute,cdm.base.staticdata.asset.common,AssetPool,version,string,(0..1),The asset pool version.
attribute,cdm.base.staticdata.asset.common,AssetPool,effectiveDate,date,(0..1),Optionally it is possible to specify a version effective date when a version is supplied.
attribute,cdm.base.staticdata.asset.common,AssetPool,initialFactor,number,(1..1),"The part of the mortgage that is outstanding on trade inception, i.e. has not been repaid yet as principal. It is expressed as a multiplier factor to the mortgage: 1 means that the whole mortgage amount is outstanding, 0.8 means that 20% has been repaid."
attribute,cdm.base.staticdata.asset.common,AssetPool,currentFactor,number,(0..1),"The part of the mortgage that is currently outstanding. It is expressed similarly to the initial factor, as factor multiplier to the mortgage. This term is formally defined as part of the 'ISDA Standard Terms Supplement for use with credit derivatives transactions on mortgage-backed security with pas-as-you-go or physical settlement'."
data type,cdm.base.staticdata.asset.common,Bond,,,,"A class to specify a bond as having a product identifier. As a difference versus the FpML standard, the CDM structure of this class only includes the productIdentifier class, which consists of an identifier, productTaxonomy, and source of the identifier. The reason for this approach is to avoid the potential for conflicting information between the information associated with the contractual product and the reference information maintained by the relevant service provider."
data type,cdm.base.staticdata.asset.common,ConvertibleBond,,,,"A class to specify a convertible bond as having a product identifier. As a difference versus the FpML standard, the CDM structure of this class only includes the productIdentifier class, which consists of an identifier, productTaxonomy, and source of the identifier. The reason for this approach is to avoid the potential for conflicting information between the information associated with the contractual product and the reference information maintained by the relevant service provider."
data type,cdm.base.staticdata.asset.common,Equity,,,,"A class to specify an equity as having a product identifier. As a difference versus the FpML standard, the CDM structure of this class only includes the productIdentifier class, which consists of an identifier, productTaxonomy, and source of the identifier. The reason for this approach is to avoid the potential for conflicting information between the information associated with the contractual product and the reference information maintained by the relevant service provider."
data type,cdm.base.staticdata.asset.common,ProductIdentifier,,,,"Comprises an identifier and a source. The associated metadata key denotes the ability to associate a hash value to the ProductIdentifier instantiations for the purpose of model cross-referencing, in support of functionality such as the event effect and the lineage."
attribute,cdm.base.staticdata.asset.common,ProductIdentifier,identifier,string,(1..1),Provides an identifier associated with a specific product.  The identifier is unique within the public source specified in the source attribute.
attribute,cdm.base.staticdata.asset.common,ProductIdentifier,source,ProductIdTypeEnum,(1..1),Defines the source of the identifier.
data type,cdm.base.staticdata.asset.common,IdentifiedProduct,,,,An abstract class to specify a product which terms are abstracted through reference data.
attribute,cdm.base.staticdata.asset.common,IdentifiedProduct,productIdentifier,ProductIdentifier,(1..1),
data type,cdm.base.staticdata.asset.common,ProductBase,,,,Serves as an abstract class to specify a product using a productIdentifier.
attribute,cdm.base.staticdata.asset.common,ProductBase,productTaxonomy,ProductTaxonomy,(0..*),"Specifies the product taxonomy, which is composed of a taxonomy value and a taxonomy source."
attribute,cdm.base.staticdata.asset.common,ProductBase,productIdentifier,ProductIdentifier,(0..*),"Comprises an identifier and a source. The associated metadata key denotes the ability to associate a hash value to the ProductIdentifier instantiations for the purpose of model cross-referencing, in support of functionality such as the event effect and the lineage."
data type,cdm.base.staticdata.asset.common,Listing,,,,Specifies the exchange where the asset is listed.
attribute,cdm.base.staticdata.asset.common,Listing,exchange,LegalEntity,(0..1),"Exchange refers to the principal financial market where the asset is listed. This is the main venue for the buying and selling of the asset, such as a stock exchange for equities or a futures exchange for commodities."
attribute,cdm.base.staticdata.asset.common,Listing,relatedExchange,LegalEntity,(0..*),"Related Exchange denotes any additional exchange or trading platform where the asset is listed. For instance, if the asset is a particular stock, the related exchange might be the exchange where the stock is listed."
data type,cdm.base.staticdata.asset.common,TaxonomyValue,,,,Defines a taxonomy value as either a simple string or a more granular expression with class names and values for each class.
attribute,cdm.base.staticdata.asset.common,TaxonomyValue,name,string,(0..1),"Specifies the taxonomy value as a simple string, which may be associated to an external scheme."
attribute,cdm.base.staticdata.asset.common,TaxonomyValue,classification,TaxonomyClassification,(0..*),Specifies the taxonomy value as a set of class names and values for each class.
data type,cdm.base.staticdata.asset.common,Taxonomy,,,,Defines the taxonomy of an object by combining a taxonomy source (i.e. the rules to classify the object) and a value (i.e. the output of those rules on the object).
attribute,cdm.base.staticdata.asset.common,Taxonomy,source,TaxonomySourceEnum,(0..1),The source of the taxonomy that defines the rules for classifying the object. The taxonomy source is taken from a enumerated list of taxonomy names. Optional as the taxonomy source may not be provided.
attribute,cdm.base.staticdata.asset.common,Taxonomy,value,TaxonomyValue,(0..1),The value according to that taxonomy. Optional as it may not be possible to classify the object in that taxonomy.
data type,cdm.base.staticdata.asset.common,ProductTaxonomy,,,,"Specifies the product taxonomy, which is composed of a taxonomy value and a taxonomy source."
attribute,cdm.base.staticdata.asset.common,ProductTaxonomy,primaryAssetClass,AssetClassEnum,(0..1),Classifies the most important risk class of the trade.
attribute,cdm.base.staticdata.asset.common,ProductTaxonomy,secondaryAssetClass,AssetClassEnum,(0..*)," Classifies additional risk classes of the trade, if any."
attribute,cdm.base.staticdata.asset.common,ProductTaxonomy,productQualifier,string,(0..1),Derived from the product payout features using a CDM product qualification function that determines the product type based on the product payout features.
data type,cdm.base.staticdata.asset.common,IndexReferenceInformation,,,,A class defining information related to Index
attribute,cdm.base.staticdata.asset.common,IndexReferenceInformation,indexName,string,(0..1),The name of the index expressed as a free format string with an associated scheme.
attribute,cdm.base.staticdata.asset.common,IndexReferenceInformation,indexId,string,(0..*),An index identifier (e.g. RED pair code).
data type,cdm.base.staticdata.asset.common,Index,,,,Identifies an index by referencing a product identifier.
data type,cdm.base.staticdata.asset.common,Commodity,,,,Identifies a specific commodity by referencing a product identifier or by a product definition.
attribute,cdm.base.staticdata.asset.common,Commodity,commodityProductDefinition,CommodityProductDefinition,(0..1),Specifies the commodity underlier in the event that no ISDA Commodity Reference Benchmark exists.
attribute,cdm.base.staticdata.asset.common,Commodity,priceQuoteType,QuotationSideEnum,(1..1),"Describes the required quote type of the underlying price that will be observed. Example values include 'Bid, 'Ask', 'Settlement' (for a futures contract) and 'WeightedAverage' (for some published prices and indices)."
attribute,cdm.base.staticdata.asset.common,Commodity,deliveryDateReference,DeliveryDateParameters,(0..1),Specifies the parameters for identifying the relevant contract date when the commodity reference price is a futures contract.
attribute,cdm.base.staticdata.asset.common,Commodity,description,string,(0..1),Provides additional information about the commodity underlier.
data type,cdm.base.staticdata.asset.common,CommodityProductDefinition,,,,Specifies the commodity underlier in the event that no ISDA Commodity Reference Price exists.
attribute,cdm.base.staticdata.asset.common,CommodityProductDefinition,referenceFramework,CommodityReferenceFramework,(1..1),Specifies the type of commodity.
